GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJZAE001,NAME_M,AJZAM001
"G0100010","2014-2018",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",58786,"Autauga County, Alabama",2972
"G0100030","2014-2018",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",55962,"Baldwin County, Alabama",1204
"G0100050","2014-2018",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",34186,"Barbour County, Alabama",2552
"G0100070","2014-2018",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",45340,"Bibb County, Alabama",5618
"G0100090","2014-2018",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",48695,"Blount County, Alabama",2703
"G0100110","2014-2018",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",32152,"Bullock County, Alabama",10285
"G0100130","2014-2018",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",39109,"Butler County, Alabama",2026
"G0100150","2014-2018",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",45197,"Calhoun County, Alabama",1578
"G0100170","2014-2018",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",39872,"Chambers County, Alabama",2347
"G0100190","2014-2018",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",41014,"Cherokee County, Alabama",1931
"G0100210","2014-2018",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",45182,"Chilton County, Alabama",3184
"G0100230","2014-2018",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",34884,"Choctaw County, Alabama",2927
"G0100250","2014-2018",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",36127,"Clarke County, Alabama",4237
"G0100270","2014-2018",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",41225,"Clay County, Alabama",4334
"G0100290","2014-2018",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",40188,"Cleburne County, Alabama",4625
"G0100310","2014-2018",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",53155,"Coffee County, Alabama",2474
"G0100330","2014-2018",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",47558,"Colbert County, Alabama",2607
"G0100350","2014-2018",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",33177,"Conecuh County, Alabama",2481
"G0100370","2014-2018",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",38301,"Coosa County, Alabama",3436
"G0100390","2014-2018",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",40601,"Covington County, Alabama",1923
"G0100410","2014-2018",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",39812,"Crenshaw County, Alabama",2817
"G0100430","2014-2018",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",42558,"Cullman County, Alabama",1523
"G0100450","2014-2018",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",45960,"Dale County, Alabama",2816
"G0100470","2014-2018",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",31602,"Dallas County, Alabama",1447
"G0100490","2014-2018",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",39233,"DeKalb County, Alabama",2081
"G0100510","2014-2018",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",59347,"Elmore County, Alabama",2721
"G0100530","2014-2018",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",35000,"Escambia County, Alabama",3118
"G0100550","2014-2018",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",44023,"Etowah County, Alabama",1776
"G0100570","2014-2018",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",37458,"Fayette County, Alabama",3109
"G0100590","2014-2018",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",40459,"Franklin County, Alabama",2822
"G0100610","2014-2018",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",38142,"Geneva County, Alabama",3168
"G0100630","2014-2018",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",21804,"Greene County, Alabama",4672
"G0100650","2014-2018",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",30571,"Hale County, Alabama",4241
"G0100670","2014-2018",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",48610,"Henry County, Alabama",3806
"G0100690","2014-2018",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",45496,"Houston County, Alabama",941
"G0100710","2014-2018",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",39816,"Jackson County, Alabama",1602
"G0100730","2014-2018",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",51979,"Jefferson County, Alabama",687
"G0100750","2014-2018",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",36756,"Lamar County, Alabama",2887
"G0100770","2014-2018",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",46265,"Lauderdale County, Alabama",1490
"G0100790","2014-2018",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",44515,"Lawrence County, Alabama",2491
"G0100810","2014-2018",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",48056,"Lee County, Alabama",1506
"G0100830","2014-2018",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",56460,"Limestone County, Alabama",3118
"G0100850","2014-2018",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",30833,"Lowndes County, Alabama",3373
"G0100870","2014-2018",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",32074,"Macon County, Alabama",2430
"G0100890","2014-2018",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",63417,"Madison County, Alabama",1447
"G0100910","2014-2018",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",32809,"Marengo County, Alabama",3613
"G0100930","2014-2018",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",35392,"Marion County, Alabama",3171
"G0100950","2014-2018",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",42490,"Marshall County, Alabama",1703
"G0100970","2014-2018",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",46166,"Mobile County, Alabama",1129
"G0100990","2014-2018",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",30141,"Monroe County, Alabama",4709
"G0101010","2014-2018",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",47990,"Montgomery County, Alabama",1315
"G0101030","2014-2018",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",49751,"Morgan County, Alabama",2001
"G0101050","2014-2018",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",23561,"Perry County, Alabama",2573
"G0101070","2014-2018",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",37458,"Pickens County, Alabama",3062
"G0101090","2014-2018",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",34678,"Pike County, Alabama",3262
"G0101110","2014-2018",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",41449,"Randolph County, Alabama",3941
"G0101130","2014-2018",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",40978,"Russell County, Alabama",2192
"G0101150","2014-2018",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",54887,"St. Clair County, Alabama",2057
"G0101170","2014-2018",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",75761,"Shelby County, Alabama",1348
"G0101190","2014-2018",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",23132,"Sumter County, Alabama",2361
"G0101210","2014-2018",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",41012,"Talladega County, Alabama",1513
"G0101230","2014-2018",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",43361,"Tallapoosa County, Alabama",3489
"G0101250","2014-2018",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",52221,"Tuscaloosa County, Alabama",1240
"G0101270","2014-2018",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",41748,"Walker County, Alabama",1803
"G0101290","2014-2018",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",40794,"Washington County, Alabama",3442
"G0101310","2014-2018",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",27237,"Wilcox County, Alabama",4033
"G0101330","2014-2018",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",38504,"Winston County, Alabama",3600
"G0200130","2014-2018",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",69706,"Aleutians East Borough, Alaska",4788
"G0200160","2014-2018",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",85517,"Aleutians West Census Area, Alaska",3718
"G0200200","2014-2018",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",83280,"Anchorage Municipality, Alaska",1770
"G0200500","2014-2018",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",54212,"Bethel Census Area, Alaska",2972
"G0200600","2014-2018",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",84688,"Bristol Bay Borough, Alaska",10676
"G0200680","2014-2018",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",84196,"Denali Borough, Alaska",7160
"G0200700","2014-2018",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",58750,"Dillingham Census Area, Alaska",4339
"G0200900","2014-2018",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",77095,"Fairbanks North Star Borough, Alaska",2705
"G0201000","2014-2018",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",64342,"Haines Borough, Alaska",19415
"G0201050","2014-2018",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",63603,"Hoonah-Angoon Census Area, Alaska",6054
"G0201100","2014-2018",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",88213,"Juneau City and Borough, Alaska",3956
"G0201220","2014-2018",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",66684,"Kenai Peninsula Borough, Alaska",2674
"G0201300","2014-2018",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",70356,"Ketchikan Gateway Borough, Alaska",3342
"G0201500","2014-2018",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",78281,"Kodiak Island Borough, Alaska",9886
"G0201580","2014-2018",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusilvak Census Area, Alaska",35539,"Kusilvak Census Area, Alaska",3260
"G0201640","2014-2018",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",46406,"Lake and Peninsula Borough, Alaska",5186
"G0201700","2014-2018",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",75905,"Matanuska-Susitna Borough, Alaska",1736
"G0201800","2014-2018",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",58987,"Nome Census Area, Alaska",3166
"G0201850","2014-2018",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",75431,"North Slope Borough, Alaska",13210
"G0201880","2014-2018",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",62949,"Northwest Arctic Borough, Alaska",3677
"G0201950","2014-2018",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Borough, Alaska",66907,"Petersburg Borough, Alaska",2820
"G0201980","2014-2018",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",54191,"Prince of Wales-Hyder Census Area, Alaska",2561
"G0202200","2014-2018",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",71534,"Sitka City and Borough, Alaska",4048
"G0202300","2014-2018",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",72237,"Skagway Municipality, Alaska",5731
"G0202400","2014-2018",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",71541,"Southeast Fairbanks Census Area, Alaska",6871
"G0202610","2014-2018",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",82306,"Valdez-Cordova Census Area, Alaska",5784
"G0202750","2014-2018",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",57583,"Wrangell City and Borough, Alaska",7200
"G0202820","2014-2018",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",65833,"Yakutat City and Borough, Alaska",9645
"G0202900","2014-2018",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",40000,"Yukon-Koyukuk Census Area, Alaska",2340
"G0400010","2014-2018",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",32963,"Apache County, Arizona",1614
"G0400030","2014-2018",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",48649,"Cochise County, Arizona",1372
"G0400050","2014-2018",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",57616,"Coconino County, Arizona",1629
"G0400070","2014-2018",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",42092,"Gila County, Arizona",1810
"G0400090","2014-2018",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",51352,"Graham County, Arizona",2134
"G0400110","2014-2018",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",60962,"Greenlee County, Arizona",3549
"G0400120","2014-2018",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",33333,"La Paz County, Arizona",5547
"G0400130","2014-2018",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",61606,"Maricopa County, Arizona",305
"G0400150","2014-2018",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",43266,"Mohave County, Arizona",1301
"G0400170","2014-2018",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",40054,"Navajo County, Arizona",1508
"G0400190","2014-2018",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",51037,"Pima County, Arizona",502
"G0400210","2014-2018",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",55550,"Pinal County, Arizona",944
"G0400230","2014-2018",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",40467,"Santa Cruz County, Arizona",2823
"G0400250","2014-2018",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",50180,"Yavapai County, Arizona",1188
"G0400270","2014-2018",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",44058,"Yuma County, Arizona",1027
"G0500010","2014-2018",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",39466,"Arkansas County, Arkansas",2862
"G0500030","2014-2018",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",39635,"Ashley County, Arkansas",2381
"G0500050","2014-2018",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",41481,"Baxter County, Arkansas",1723
"G0500070","2014-2018",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",64141,"Benton County, Arkansas",973
"G0500090","2014-2018",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",43262,"Boone County, Arkansas",1685
"G0500110","2014-2018",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",39510,"Bradley County, Arkansas",1964
"G0500130","2014-2018",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",44022,"Calhoun County, Arkansas",5407
"G0500150","2014-2018",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",43505,"Carroll County, Arkansas",2576
"G0500170","2014-2018",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",33051,"Chicot County, Arkansas",2405
"G0500190","2014-2018",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",39752,"Clark County, Arkansas",3177
"G0500210","2014-2018",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",33935,"Clay County, Arkansas",3014
"G0500230","2014-2018",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",43391,"Cleburne County, Arkansas",3877
"G0500250","2014-2018",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",42460,"Cleveland County, Arkansas",5180
"G0500270","2014-2018",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",36148,"Columbia County, Arkansas",2798
"G0500290","2014-2018",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway County, Arkansas",41196,"Conway County, Arkansas",3290
"G0500310","2014-2018",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Craighead County, Arkansas",45868,"Craighead County, Arkansas",1769
"G0500330","2014-2018",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Arkansas",46619,"Crawford County, Arkansas",1940
"G0500350","2014-2018",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",39002,"Crittenden County, Arkansas",3326
"G0500370","2014-2018",,,"Arkansas","05","Cross County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross County, Arkansas",43838,"Cross County, Arkansas",3033
"G0500390","2014-2018",,,"Arkansas","05","Dallas County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Arkansas",36628,"Dallas County, Arkansas",4304
"G0500410","2014-2018",,,"Arkansas","05","Desha County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desha County, Arkansas",30234,"Desha County, Arkansas",3199
"G0500430","2014-2018",,,"Arkansas","05","Drew County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drew County, Arkansas",43014,"Drew County, Arkansas",6583
"G0500450","2014-2018",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",51930,"Faulkner County, Arkansas",2657
"G0500470","2014-2018",,,"Arkansas","05","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Arkansas",39463,"Franklin County, Arkansas",2378
"G0500490","2014-2018",,,"Arkansas","05","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Arkansas",36184,"Fulton County, Arkansas",3839
"G0500510","2014-2018",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garland County, Arkansas",43146,"Garland County, Arkansas",1686
"G0500530","2014-2018",,,"Arkansas","05","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Arkansas",51920,"Grant County, Arkansas",3608
"G0500550","2014-2018",,,"Arkansas","05","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Arkansas",47497,"Greene County, Arkansas",2882
"G0500570","2014-2018",,,"Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hempstead County, Arkansas",41355,"Hempstead County, Arkansas",3621
"G0500590","2014-2018",,,"Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot Spring County, Arkansas",41262,"Hot Spring County, Arkansas",1831
"G0500610","2014-2018",,,"Arkansas","05","Howard County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Arkansas",35900,"Howard County, Arkansas",4446
"G0500630","2014-2018",,,"Arkansas","05","Independence County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Independence County, Arkansas",43523,"Independence County, Arkansas",2344
"G0500650","2014-2018",,,"Arkansas","05","Izard County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Izard County, Arkansas",40218,"Izard County, Arkansas",3817
"G0500670","2014-2018",,,"Arkansas","05","Jackson County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Arkansas",33174,"Jackson County, Arkansas",2693
"G0500690","2014-2018",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",38289,"Jefferson County, Arkansas",2040
"G0500710","2014-2018",,,"Arkansas","05","Johnson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Arkansas",37170,"Johnson County, Arkansas",1845
"G0500730","2014-2018",,,"Arkansas","05","Lafayette County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lafayette County, Arkansas",32412,"Lafayette County, Arkansas",3163
"G0500750","2014-2018",,,"Arkansas","05","Lawrence County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Arkansas",38528,"Lawrence County, Arkansas",2394
